# GBA text BG tilemap.
# Cell format: T<hex tile>:P<decimal palette>[:H|V|HV]
# Example: T01F:P2:H = tile 0x01F, palette 2, horizontal flip
width 32
height 32

map 0 # BG3, screen block 6
T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0
T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0
T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0
T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0
T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0
T010:P0 T011:P0 T012:P0 T013:P0 T014:P0 T015:P0 T016:P0 T017:P0 T018:P0 T019:P0 T01A:P0 T01B:P0 T01C:P0 T01D:P0 T01E:P0 T01F:P0 T010:P0 T011:P0 T012:P0 T013:P0 T014:P0 T015:P0 T016:P0 T017:P0 T018:P0 T019:P0 T01A:P0 T01B:P0 T01C:P0 T01D:P0 T01E:P0 T01F:P0
T020:P0 T021:P0 T022:P0 T023:P0 T024:P0 T025:P0 T026:P0 T027:P0 T028:P0 T029:P0 T02A:P0 T02B:P0 T02C:P0 T02D:P0 T02E:P0 T02F:P0 T020:P0 T021:P0 T022:P0 T023:P0 T024:P0 T025:P0 T026:P0 T027:P0 T028:P0 T029:P0 T02A:P0 T02B:P0 T02C:P0 T02D:P0 T02E:P0 T02F:P0
T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0
T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0
T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0 T030:P0
T040:P0 T041:P0 T042:P0 T043:P0 T040:P0 T041:P0 T042:P0 T043:P0 T040:P0 T041:P0 T042:P0 T043:P0 T040:P0 T041:P0 T042:P0 T043:P0 T040:P0 T041:P0 T042:P0 T043:P0 T040:P0 T041:P0 T042:P0 T043:P0 T040:P0 T041:P0 T042:P0 T043:P0 T040:P0 T041:P0 T042:P0 T043:P0
