# GBA text BG tilemap.
# Cell format: T<hex tile>:P<decimal palette>[:H|V|HV]
# Example: T01F:P2:H = tile 0x01F, palette 2, horizontal flip
width 32
height 32

map 0 # BG3, screen block 6
T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1 T001:P1
T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1 T002:P1
T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1 T003:P1
T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1 T004:P1
T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1 T005:P1
T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1 T006:P1
T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1 T007:P1
T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1 T008:P1
T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1 T00A:P1
T010:P0 T011:P0 T012:P0 T013:P0 T014:P0 T015:P0 T016:P0 T017:P0 T018:P0 T019:P0 T01A:P0 T01B:P0 T01C:P0 T01D:P0 T01E:P0 T01F:P0 T01F:P0:H T01E:P0:H T01D:P0:H T01C:P0:H T01B:P0:H T01A:P0:H T019:P0:H T018:P0:H T017:P0:H T016:P0:H T015:P0:H T014:P0:H T013:P0:H T012:P0:H T011:P0:H T010:P0:H
T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0 T020:P0 T021:P0 T022:P0 T023:P0 T024:P0 T025:P0 T025:P0:H T024:P0:H T023:P0:H T022:P0:H T021:P0:H T020:P0:H T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0 T00C:P0
