# Pokémon Emerald JP intro tilemap: bg3.tilemap.txt
# u16 GBA BG tilemap entries preserved verbatim
0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x5005 0x0000 0x0000
0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x5004 0x0000 0x0000
0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x5003 0x0000 0x0000
0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x5002 0x0000 0x0000
0x5001 0x5001 0x5001 0x5001 0x5001 0x5015 0x5016 0x5017 0x5018 0x5019 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x5001 0x0000 0x0000
0x5001 0x5001 0x5001 0x5023 0x5024 0x5025 0x5007 0x5007 0x5028 0x5029 0x502A 0x5071 0x5073 0x5001 0x5001 0x5001 0x5071 0x5072 0x5073 0x5074 0x5001 0x5071 0x5073 0x5074 0x5001 0x5001 0x5001 0x507C 0x507D 0x5001 0x0000 0x0000
0x5030 0x5031 0x5032 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x503A 0x503B 0x503C 0x5081 0x5084 0x5001 0x5081 0x5082 0x5083 0x5084 0x5085 0x5086 0x5087 0x5088 0x5089 0x508A 0x508B 0x508C 0x508D 0x508E 0x0000 0x0000
0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x504D 0x504E 0x5090 0x5091 0x5092 0x5093 0x5094 0x5095 0x5096 0x5097 0x5098 0x5099 0x5007 0x5007 0x5007 0x5007 0x5007 0x0000 0x0000
0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x50A2 0x50A3 0x50A4 0x50A5 0x50A6 0x50A7 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x5007 0x0000 0x0000
0x5050 0x5051 0x5052 0x5053 0x5054 0x5055 0x5056 0x5057 0x5058 0x5059 0x505A 0x505B 0x505C 0x505D 0x505E 0x545E 0x545D 0x545C 0x545B 0x545A 0x5459 0x5458 0x5457 0x5456 0x5455 0x5454 0x5453 0x5452 0x5451 0x5450 0x0000 0x0000
0x50B0 0x50B1 0x50B2 0x50B3 0x50B4 0x50B5 0x50B6 0x50B7 0x50B8 0x50B9 0x50BA 0x50BB 0x50BC 0x50BD 0x50BE 0x54BE 0x54BD 0x54BC 0x54BB 0x54BA 0x54B9 0x54B8 0x54B7 0x54B6 0x54B5 0x54B4 0x54B3 0x54B2 0x54B1 0x54B0 0x0000 0x0000
